Character,Species,Studies,Jobs,Versions,Costs,Rarities,Expansions,Events naming them,Card ids
Adam,Badger,Civics,Road Mender / Surveyor of Ways,2,1 / 4,Uncommon,AF-MAKER-01,0,mk_adam_road_mender_1 mk_adam_surveyor_of_ways_4
Andrew,Owl,Lore,Night Copyist / Keeper of the Late Desk,2,0 / 2,Common / Uncommon,AF-MAKER-01,1,mk_andrew_night_copyist_0 mk_andrew_keeper_of_the_late_desk_2
Annabelle,Raccoon,Lore,Paper Sorter / Salvage Archivist,2,0 / 3,Common / Uncommon,AF-MAKER-01,0,mk_annabelle_paper_sorter_0 mk_annabelle_salvage_archivist_3
Barnaby,Owl,Commerce,Night Auditor,1,4,Super Rare,AF-MAKER-01,0,mk_barnaby_night_auditor_4
Barrow,Badger,Crafts,Stonecutter,1,5,Super Rare,AF-MAKER-01,1,mk_barrow_stonecutter_5
Bean,Owl,Food,Espresso Puller / Barista / Café Proprietor,3,1 / 3 / 5,Uncommon / Rare,AF-MAKER-01,1,mk_bean_espresso_1 mk_bean_barista_3 mk_bean_proprietor_5
Beck,Raccoon,Lore / Civics,Bylaw Reader / Ward Clerk / Lamplighter’s Clerk / Keeper of the Ward Book / Candlelight Reader,5,1 / 2 / 3 / 4 / 5,Common / Rare / Super Rare,AF-MAKER-01,1,mk_beck_bylaw_reader_1 mk_beck_ward_clerk_2 mk_beck_lamplighters_clerk_3 mk_beck_candlelight_reader_4 mk_beck_keeper_of_the_ward_book_5
Bella,Mouse,Agriculture / Science / Lore,Forager / Field Scientist / Field Recorder / Wildlife Warden / Ecologist / Science Hall Fellow,6,0 / 1 / 2 / 3 / 4 / 5,Uncommon / Rare,AF-MAKER-01,0,mk_bella_forager_0 mk_bella_field_scientist_1 mk_bella_field_recorder_2 mk_bella_wildlife_warden_3 mk_bella_science_hall_fellow_4 mk_bella_ecologist_5
Benjamin,Otter,Lore / Crafts / Civics,Wick Trimmer / Lantern Maker / Town Historian / Master Lantern Maker / Keeper of the Light,5,0 / 2 / 3 / 4 / 5,Common / Rare / Super Rare,AF-MAKER-01,0,mk_benjamin_wick_trimmer_0 mk_benjamin_lantern_maker_2 mk_benjamin_town_historian_3 mk_benjamin_master_lantern_maker_4 mk_benjamin_keeper_of_the_light_5
Berry,Hedgehog,Crafts / Science / Civics,Retired Tinker / Clockmaker / Committee Volunteer / Consulting Engineer / Workshop Elder / Guild Warden,6,0 / 1 / 2 / 3 / 4 / 5,Common / Uncommon / Rare / Super Rare,AF-MAKER-01,1,mk_berry_tinker_0 mk_berry_clockmaker_1 mk_berry_committee_2 mk_berry_engineer_3 mk_berry_workshop_elder_4 mk_berry_guild_warden_5
Betty,Hedgehog,Agriculture / Crafts / Science,Barn Sweeper / Whittler / Stump Blaster / Firework Maker / Powder Chemist / Land Clearer,6,0 / 1 / 2 / 3 / 4 / 5,Common / Rare / Uncommon / Super Rare,AF-MAKER-01,0,mk_betty_barn_sweeper_0 mk_betty_whittler_1 mk_betty_stump_blaster_2 mk_betty_firework_maker_3 mk_betty_powder_chemist_4 mk_betty_land_clearer_5
Biff,Hedgehog,Civics,Beat Constable / Chief Constable / Cadet Constable,3,0 / 2 / 4,Common / Rare / Super Rare,AF-MAKER-01,1,mk_biff_cadet_constable_0 mk_biff_beat_constable_2 mk_biff_chief_constable_4
Bob,Hedgehog,Civics,Gate Attendant,1,4,Rare,AF-MAKER-01,0,mk_bob_gate_attendant_4
Brett,Badger,Civics,Retained Counsel,1,5,Super Rare,AF-MAKER-01,0,mk_brett_counsel_5
Brooke,Otter,Commerce / Lore / Entertainment / Science / Crafts,Dock Hand / Ferry Hand / Regatta Caller / Balloonist / Riverwright / Mooring Hand,6,0 / 1 / 2 / 3 / 4 / 5,Common / Uncommon / Rare / Super Rare,AF-MAKER-01,0,mk_brooke_mooring_hand_0 mk_brooke_dock_hand_1 mk_brooke_ferry_hand_2 mk_brooke_regatta_caller_3 mk_brooke_balloonist_4 mk_brooke_riverwright_5
