release,product,type,species,study,name,title,cost,rarity,set_number,number,id,in_starter_decks
Set 1,Statues (market decks),Statue,,,Statue of Community,,5,Common,A1,208,mk_st_community,
Set 1,Statues (market decks),Statue,,,Statue of Courage,,3,Common,A1,220,mk_st_courage,
Set 1,Statues (market decks),Statue,,,Statue of Curiosity,,2,Common,A1,210,mk_st_curiosity,
Set 1,Statues (market decks),Statue,,,Statue of Diligence,,3,Common,A1,216,mk_st_diligence,
Set 1,Statues (market decks),Statue,,,Statue of Generosity,,4,Common,A1,211,mk_st_generosity,
Set 1,Statues (market decks),Statue,,,Statue of Ingenuity,,4,Common,A1,215,mk_st_ingenuity,
Set 1,Statues (market decks),Statue,,,Statue of Joy,,5,Common,A1,217,mk_st_joy,
Set 1,Statues (market decks),Statue,,,Statue of Kindness,,2,Common,A1,218,mk_st_kindness,
Set 1,Statues (market decks),Statue,,,Statue of Patience,,3,Common,A1,209,mk_st_patience,
Set 1,Statues (market decks),Statue,,,Statue of Vigilance,,4,Common,A1,212,mk_st_vigilance,
Set 1,Tokens,Token,,Agriculture,Agriculture Token,Token,0,Common,A1,241,mk_tok_agriculture,
Set 1,Tokens,Token,,,Building Token,Token,0,Common,A1,234,mk_tok_building,
Set 1,Tokens,Token,,Civics,Civics Token,Token,0,Common,A1,236,mk_tok_civics,
Set 1,Tokens,Token,,Commerce,Commerce Token,Token,0,Common,A1,237,mk_tok_commerce,
Set 1,Tokens,Token,,Crafts,Crafts Token,Token,0,Common,A1,235,mk_tok_crafts,
Set 1,Tokens,Token,,Entertainment,Entertainment Token,Token,0,Common,A1,233,mk_tok_entertainment,
Set 1,Tokens,Token,,Food,Food Token,Token,0,Common,A1,238,mk_tok_food,
Set 1,Tokens,Token,,Lore,Lore Token,Token,0,Common,A1,239,mk_tok_lore,
Set 1,Tokens,Token,,Science,Science Token,Token,0,Common,A1,240,mk_tok_science,
Set 1,Tokens,Token,Badger,,Badger Token,Token,0,Common,A1,245,mk_tok_badger,
Set 1,Tokens,Token,Mouse,,Mouse Token,Token,0,Common,A1,243,mk_tok_mouse,
Set 1,Tokens,Token,Owl,,Owl Token,Token,0,Common,A1,249,mk_tok_owl,
Set 1,Tokens,Token,Squirrel,,Squirrel Token,Token,0,Common,A1,247,mk_tok_squirrel,
Set 1,Badger & Owl pack,Character,Badger,Civics,Adam,Road Mender,1,Uncommon,A1,299,mk_adam_road_mender_1,Bench & Bylaw ×2
Set 1,Badger & Owl pack,Character,Badger,Civics,Adam,Road Gang,2,Uncommon,A1,304,mk_adam_road_gang_2,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Civics,Adam,Surveyor of Ways,4,Common,A1,32,mk_adam_surveyor_of_ways_4,Bench & Bylaw ×1; Cache & Kitchen ×1; Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Badger,Civics,Adam,Road Construction,5,Legendary,A1,646,mk_adam_road_construction_5,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Crafts,Badger Cub,Cub,0,Uncommon,A1,295,mk_badger_cub_cub_0,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Crafts,Moss,Timber Hand,0,Common,A1,38,mk_moss_timber_hand_0,
Set 1,Badger & Owl pack,Character,Badger,Agriculture,Moss,Ploughwright,1,Common,A1,37,mk_moss_ploughwright_1,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Crafts,Moss,Toolsmith,2,Uncommon,A1,300,mk_moss_toolsmith_2,Bench & Bylaw ×2
Set 1,Badger & Owl pack,Character,Badger,Crafts,Moss,Guild Architect,3,Rare,A1,433,mk_moss_guild_architect_3,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Crafts,Moss,Rocketwright,4,Common,A1,34,mk_moss_rocketwright_4,Bench & Bylaw ×2
Set 1,Badger & Owl pack,Character,Badger,Crafts,Moss,Bridgewright,5,Uncommon,A1,289,mk_moss_bridgewright_5,
Set 1,Badger & Owl pack,Character,Badger,Food,Oatmeal,Sunday Table,0,Common,A1,30,mk_oatmeal_sunday_table_0,
Set 1,Badger & Owl pack,Character,Badger,Civics,Oatmeal,Ward Clerk,1,Rare,A1,432,mk_oatmeal_ward_clerk_1,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Civics,Oatmeal,Safety Inspector,2,Uncommon,A1,296,mk_oatmeal_safety_inspector_2,Bench & Bylaw ×2
Set 1,Badger & Owl pack,Character,Badger,Entertainment,Oatmeal,Jazz Singer,3,Uncommon,A1,294,mk_oatmeal_jazz_singer_3,Bench & Bylaw ×2
Set 1,Badger & Owl pack,Character,Badger,Civics,Oatmeal,Town Warden,4,Uncommon,A1,291,mk_oatmeal_town_warden_4,Bench & Bylaw ×2
Set 1,Badger & Owl pack,Character,Badger,Civics,Oatmeal,Borough Alderman,5,Uncommon,A1,301,mk_oatmeal_alderman_5,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Science,Orien,Tally Clerk,0,Rare,A1,437,mk_orien_tally_clerk_0,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Commerce,Orien,Rate Checker,2,Uncommon,A1,302,mk_orien_rate_checker_2,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Civics,Orien,Borough Actuary,3,Uncommon,A1,292,mk_orien_borough_actuary_3,Bench & Bylaw ×2
Set 1,Badger & Owl pack,Character,Badger,Science,Orien,Survey Computer,4,Uncommon,A1,305,mk_orien_survey_computer_4,
Set 1,Badger & Owl pack,Character,Badger,Civics,Orien,Town Planner,5,Rare,A1,434,mk_orien_town_planner_5,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Lore,Robbie,Cub Reporter,0,Uncommon,A1,293,mk_robbie_cub_reporter_0,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Civics,Robbie,Columnist,1,Rare,A1,435,mk_robbie_columnist_1,Bench & Bylaw ×1
Set 1,Badger & Owl pack,Character,Badger,Lore,Robbie,Features Writer,2,Super Rare,A1,561,mk_robbie_features_writer_2,
Set 1,Badger & Owl pack,Character,Badger,Civics,Robbie,Editor,3,Super Rare,A1,564,mk_robbie_editor_3,Bench & Bylaw ×1; Cache & Kitchen ×1
Set 1,Badger & Owl pack,Character,Badger,Lore,Robbie,Editor-in-Chief,5,Super Rare,A1,563,mk_robbie_editor_in_chief_5,
Set 1,Badger & Owl pack,Character,Badger,Crafts,The Shrouded Badger,Hand at the Bench,2,Common,A1,36,mk_shrouded_badger_bench_hand_2,
Set 1,Badger & Owl pack,Character,Owl,Crafts,Balto,Bench Owl,0,Rare,A1,499,mk_balto_bench_owl_0,
Set 1,Badger & Owl pack,Character,Owl,Crafts,Balto,Cabinetmaker,1,Super Rare,A1,589,mk_balto_cabinetmaker_1,
Set 1,Badger & Owl pack,Character,Owl,Commerce,Balto,Shopkeeper,2,Super Rare,A1,586,mk_balto_shopkeeper_2,
Set 1,Badger & Owl pack,Character,Owl,Crafts,Balto,Furniture Craftsman,3,Super Rare,A1,585,mk_balto_furniture_craftsman_3,Bench & Bylaw ×1; Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Commerce,Balto,Guild Furniture Broker,5,Legendary,A1,651,mk_balto_guild_furniture_broker_5,
Set 1,Badger & Owl pack,Character,Owl,Food,Bean,Espresso Puller,1,Rare,A1,495,mk_bean_espresso_1,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Food,Bean,Two Pairs of Paws,2,Rare,A1,497,mk_bean_two_pairs_of_paws_2,
Set 1,Badger & Owl pack,Character,Owl,Food,Bean,Barista,3,Uncommon,A1,344,mk_bean_barista_3,Dome & Dusk ×2
Set 1,Badger & Owl pack,Character,Owl,Food,Bean,The Early Shift,4,Uncommon,A1,351,mk_bean_the_early_shift_4,
Set 1,Badger & Owl pack,Character,Owl,Food,Bean,Café Proprietor,5,Rare,A1,502,mk_bean_proprietor_5,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Food,Hoot,Night Kitchen,1,Rare,A1,484,mk_hoot_night_kitchen_1,Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Food,Hoot,Breakfast Bell,3,Rare,A1,493,mk_hoot_breakfast_bell_3,Cache & Kitchen ×1; Dome & Dusk ×1
Set 1,Badger & Owl pack,Character,Owl,Food,Hoot,Head of the Night Kitchen,5,Rare,A1,483,mk_hoot_head_of_the_night_kitchen_5,
Set 1,Badger & Owl pack,Character,Owl,Entertainment,Jessica,Song and Game Leader,0,Rare,A1,501,mk_jessica_song_leader_0,Dome & Dusk ×1
